('Fold : ', 0)
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
Iter 141, Minibatch Loss= 324.455831, Training Accuracy= 0.98667
Iter 142, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 143, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 144, Minibatch Loss= 138.761403, Training Accuracy= 0.99333
Iter 145, Minibatch Loss= 67.785258, Training Accuracy= 0.99333
Iter 146, Minibatch Loss= 46.431508, Training Accuracy= 0.99333
Iter 147, Minibatch Loss= 24.677371, Training Accuracy= 0.99333
Iter 148, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 149, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 150, Minibatch Loss= 297.722870, Training Accuracy= 0.98667
Iter 151, Minibatch Loss= 51.600601, Training Accuracy= 0.98667
Iter 152, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 153, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 154, Minibatch Loss= 99.860626, Training Accuracy= 0.99333
Iter 155, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 156, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 157, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 158, Minibatch Loss= 142.726013, Training Accuracy= 0.99333
Iter 159, Minibatch Loss= 2.974245, Training Accuracy= 0.99333
Iter 160, Minibatch Loss= 176.095866, Training Accuracy= 0.99333
Iter 161, Minibatch Loss= 220.265055, Training Accuracy= 0.98667
Iter 162, Minibatch Loss= 67.055679, Training Accuracy= 0.99333
Iter 163, Minibatch Loss= 368.770541, Training Accuracy= 0.98667
Iter 164, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 165, Minibatch Loss= 110.874401, Training Accuracy= 0.98667
Iter 166, Minibatch Loss= 43.294896, Training Accuracy= 0.99333
Iter 167, Minibatch Loss= 333.622457, Training Accuracy= 0.98667
Iter 168, Minibatch Loss= 41.792605, Training Accuracy= 0.99333
Iter 169, Minibatch Loss= 33.501457, Training Accuracy= 0.99333
Iter 170, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 171, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 172, Minibatch Loss= 190.987971, Training Accuracy= 0.98000
Iter 173, Minibatch Loss= 387.537994, Training Accuracy= 0.98667
Iter 174, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 175, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 176, Minibatch Loss= 144.908854, Training Accuracy= 0.98000
Iter 177, Minibatch Loss= 89.617554, Training Accuracy= 0.98667
Iter 178, Minibatch Loss= 56.476461, Training Accuracy= 0.99333
Iter 179, Minibatch Loss= 60.872945, Training Accuracy= 0.98667
Iter 180, Minibatch Loss= 233.650467, Training Accuracy= 0.98667
Iter 181, Minibatch Loss= 0.630885, Training Accuracy= 0.99333
Iter 182, Minibatch Loss= 112.300680, Training Accuracy= 0.99333
Iter 183, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 184, Minibatch Loss= 58.187241, Training Accuracy= 0.99333
Iter 185, Minibatch Loss= 16.846303, Training Accuracy= 0.98667
Iter 186, Minibatch Loss= 89.687653, Training Accuracy= 0.98667
Iter 187, Minibatch Loss= 93.867554, Training Accuracy= 0.98667
Iter 188, Minibatch Loss= 90.774272, Training Accuracy= 0.99333
Iter 189, Minibatch Loss= 201.758535, Training Accuracy= 0.98667
Iter 190, Minibatch Loss= 315.258443, Training Accuracy= 0.98000
Iter 191, Minibatch Loss= 151.757289, Training Accuracy= 0.98000
Iter 192, Minibatch Loss= 80.779348, Training Accuracy= 0.98667
Iter 193, Minibatch Loss= 244.651113, Training Accuracy= 0.98667
Iter 194, Minibatch Loss= 30.405574, Training Accuracy= 0.99333
Iter 195, Minibatch Loss= 145.645386, Training Accuracy= 0.98667
Iter 196, Minibatch Loss= 27.643567, Training Accuracy= 0.98667
Iter 197, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 198, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 199, Minibatch Loss= 52.370962, Training Accuracy= 0.99333

Training complete!
Model saved in file: tempModelsCNNFolds/model5.ckpt
('accuracy : ', 0.625)
('precision : ', 0.68125000000000002)
('recall : ', 0.625)
('f1 : ', 0.62499999999999989)


('Fold : ', 6)
Iter 0, Minibatch Loss= 110821.395833, Training Accuracy= 0.22000
Iter 1, Minibatch Loss= 85545.058594, Training Accuracy= 0.20000
Iter 2, Minibatch Loss= 77313.117188, Training Accuracy= 0.32667
Iter 3, Minibatch Loss= 76756.927083, Training Accuracy= 0.32000
Iter 4, Minibatch Loss= 65193.144531, Training Accuracy= 0.33333
Iter 5, Minibatch Loss= 58915.541667, Training Accuracy= 0.29333
Iter 6, Minibatch Loss= 36830.890625, Training Accuracy= 0.43333
Iter 7, Minibatch Loss= 29867.410807, Training Accuracy= 0.46667
Iter 8, Minibatch Loss= 26261.788411, Training Accuracy= 0.50000
Iter 9, Minibatch Loss= 25641.697917, Training Accuracy= 0.49333
Iter 10, Minibatch Loss= 19523.481771, Training Accuracy= 0.56000
Iter 11, Minibatch Loss= 22604.279297, Training Accuracy= 0.55333
Iter 12, Minibatch Loss= 22518.039714, Training Accuracy= 0.56000
Iter 13, Minibatch Loss= 12473.289388, Training Accuracy= 0.64667
Iter 14, Minibatch Loss= 21167.505859, Training Accuracy= 0.55333
Iter 15, Minibatch Loss= 9598.963216, Training Accuracy= 0.72000
Iter 16, Minibatch Loss= 7916.029460, Training Accuracy= 0.73333
Iter 17, Minibatch Loss= 10004.196615, Training Accuracy= 0.70667
Iter 18, Minibatch Loss= 8460.910156, Training Accuracy= 0.73333
Iter 19, Minibatch Loss= 8873.587240, Training Accuracy= 0.74000
Iter 20, Minibatch Loss= 4567.614176, Training Accuracy= 0.81333
Iter 21, Minibatch Loss= 7613.161296, Training Accuracy= 0.80667
Iter 22, Minibatch Loss= 6721.811035, Training Accuracy= 0.75333
Iter 23, Minibatch Loss= 6326.813802, Training Accuracy= 0.78000
Iter 24, Minibatch Loss= 7946.368490, Training Accuracy= 0.78667
Iter 25, Minibatch Loss= 4984.836100, Training Accuracy= 0.84000
Iter 26, Minibatch Loss= 2562.695882, Training Accuracy= 0.82667
Iter 27, Minibatch Loss= 3215.845296, Training Accuracy= 0.87333
Iter 28, Minibatch Loss= 3920.564616, Training Accuracy= 0.84000
Iter 29, Minibatch Loss= 3649.730143, Training Accuracy= 0.82667
Iter 30, Minibatch Loss= 4117.447347, Training Accuracy= 0.86667
Iter 31, Minibatch Loss= 2447.917155, Training Accuracy= 0.90000
Iter 32, Minibatch Loss= 3318.411336, Training Accuracy= 0.86667
Iter 33, Minibatch Loss= 1465.828084, Training Accuracy= 0.89333
Iter 34, Minibatch Loss= 1589.358154, Training Accuracy= 0.90667
Iter 35, Minibatch Loss= 918.564504, Training Accuracy= 0.93333
Iter 36, Minibatch Loss= 2108.543243, Training Accuracy= 0.88000
Iter 37, Minibatch Loss= 1756.567281, Training Accuracy= 0.92667
Iter 38, Minibatch Loss= 1392.514486, Training Accuracy= 0.94000
Iter 39, Minibatch Loss= 1512.159261, Training Accuracy= 0.93333
Iter 40, Minibatch Loss= 860.872762, Training Accuracy= 0.94000
Iter 41, Minibatch Loss= 884.031738, Training Accuracy= 0.92667
Iter 42, Minibatch Loss= 989.588318, Training Accuracy= 0.94000
Iter 43, Minibatch Loss= 929.592580, Training Accuracy= 0.92000
Iter 44, Minibatch Loss= 1966.309041, Training Accuracy= 0.90667
Iter 45, Minibatch Loss= 1288.979172, Training Accuracy= 0.92000
Iter 46, Minibatch Loss= 1133.375773, Training Accuracy= 0.93333
Iter 47, Minibatch Loss= 1062.897227, Training Accuracy= 0.92000
Iter 48, Minibatch Loss= 391.392466, Training Accuracy= 0.98000
Iter 49, Minibatch Loss= 1134.392558, Training Accuracy= 0.94000
Iter 50, Minibatch Loss= 662.073405, Training Accuracy= 0.96000
Iter 51, Minibatch Loss= 863.275085, Training Accuracy= 0.95333
Iter 52, Minibatch Loss= 728.122470, Training Accuracy= 0.96667
Iter 53, Minibatch Loss= 463.107096, Training Accuracy= 0.97333
Iter 54, Minibatch Loss= 877.071737, Training Accuracy= 0.95333
Iter 55, Minibatch Loss= 742.390279, Training Accuracy= 0.96000
Iter 56, Minibatch Loss= 711.449432, Training Accuracy= 0.96000
Iter 57, Minibatch Loss= 373.203252, Training Accuracy= 0.97333
Iter 58, Minibatch Loss= 597.989807, Training Accuracy= 0.96000
Iter 59, Minibatch Loss= 148.699142, Training Accuracy= 0.97333
Iter 60, Minibatch Loss= 173.225423, Training Accuracy= 0.98667
Iter 61, Minibatch Loss= 1009.149841, Training Accuracy= 0.96667
Iter 62, Minibatch Loss= 364.023234, Training Accuracy= 0.98000
Iter 63, Minibatch Loss= 406.052409, Training Accuracy= 0.96667
Iter 64, Minibatch Loss= 193.237890, Training Accuracy= 0.98667
Iter 65, Minibatch Loss= 845.012792, Training Accuracy= 0.92667
Iter 66, Minibatch Loss= 493.680105, Training Accuracy= 0.94000
Iter 67, Minibatch Loss= 928.029154, Training Accuracy= 0.95333
Iter 68, Minibatch Loss= 311.612391, Training Accuracy= 0.97333
Iter 69, Minibatch Loss= 94.223633, Training Accuracy= 0.98000
Iter 70, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 71, Minibatch Loss= 275.484406, Training Accuracy= 0.98000
Iter 72, Minibatch Loss= 273.246541, Training Accuracy= 0.97333
Iter 73, Minibatch Loss= 179.526131, Training Accuracy= 0.98000
Iter 74, Minibatch Loss= 572.468394, Training Accuracy= 0.96000
Iter 75, Minibatch Loss= 119.700888, Training Accuracy= 0.98000
Iter 76, Minibatch Loss= 328.831930, Training Accuracy= 0.96667
Iter 77, Minibatch Loss= 80.687943, Training Accuracy= 0.99333
Iter 78, Minibatch Loss= 150.923798, Training Accuracy= 0.99333
Iter 79, Minibatch Loss= 12.719505, Training Accuracy= 0.99333
Iter 80, Minibatch Loss= 159.847921, Training Accuracy= 0.98667
Iter 81, Minibatch Loss= 295.068003, Training Accuracy= 0.97333
Iter 82, Minibatch Loss= 667.900275, Training Accuracy= 0.96000
Iter 83, Minibatch Loss= 205.116919, Training Accuracy= 0.98000
Iter 84, Minibatch Loss= 121.303986, Training Accuracy= 0.98000
Iter 85, Minibatch Loss= 143.316696, Training Accuracy= 0.98000
Iter 86, Minibatch Loss= 184.409999, Training Accuracy= 0.97333
Iter 87, Minibatch Loss= 296.113378, Training Accuracy= 0.98000
Iter 88, Minibatch Loss= 59.577382, Training Accuracy= 0.98000
Iter 89, Minibatch Loss= 363.603007, Training Accuracy= 0.96000
Iter 90, Minibatch Loss= 60.390574, Training Accuracy= 0.99333
Iter 91, Minibatch Loss= 592.297109, Training Accuracy= 0.95333
Iter 92, Minibatch Loss= 47.496223, Training Accuracy= 0.98667
Iter 93, Minibatch Loss= 174.505147, Training Accuracy= 0.98000
Iter 94, Minibatch Loss= 231.898631, Training Accuracy= 0.98667
Iter 95, Minibatch Loss= 199.793335, Training Accuracy= 0.98667
Iter 96, Minibatch Loss= 380.155314, Training Accuracy= 0.98667
Iter 97, Minibatch Loss= 219.236796, Training Accuracy= 0.98000
Iter 98, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 99, Minibatch Loss= 172.556824, Training Accuracy= 0.98000
Iter 100, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 101, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 102, Minibatch Loss= 121.179998, Training Accuracy= 0.97333
Iter 103, Minibatch Loss= 127.306196, Training Accuracy= 0.98667
Iter 104, Minibatch Loss= 67.943240, Training Accuracy= 0.98667
Iter 105, Minibatch Loss= 93.380595, Training Accuracy= 0.99333
Iter 106, Minibatch Loss= 593.981206, Training Accuracy= 0.97333
Iter 107, Minibatch Loss= 36.329109, Training Accuracy= 0.98667
Iter 108, Minibatch Loss= 149.364736, Training Accuracy= 0.98667
Iter 109, Minibatch Loss= 127.573049, Training Accuracy= 0.99333
Iter 110, Minibatch Loss= 175.218486, Training Accuracy= 0.98667
Iter 111, Minibatch Loss= 334.455475, Training Accuracy= 0.98000
Iter 112, Minibatch Loss= 186.005854, Training Accuracy= 0.98000
Iter 113, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 114, Minibatch Loss= 106.626170, Training Accuracy= 0.97333
Iter 115, Minibatch Loss= 67.709793, Training Accuracy= 0.98667
Iter 116, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 117, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 118, Minibatch Loss= 7.261927, Training Accuracy= 0.99333
Iter 119, Minibatch Loss= 101.905202, Training Accuracy= 0.98000
Iter 120, Minibatch Loss= 122.512238, Training Accuracy= 0.98667
Iter 121, Minibatch Loss= 241.013733, Training Accuracy= 0.98667
Iter 122, Minibatch Loss= 178.311462, Training Accuracy= 0.99333
Iter 123, Minibatch Loss= 13.495052, Training Accuracy= 0.99333
Iter 124, Minibatch Loss= 0.024647, Training Accuracy= 0.99333
Iter 125, Minibatch Loss= 64.043498, Training Accuracy= 0.98667
Iter 126, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 127, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 128, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 129, Minibatch Loss= 38.075780, Training Accuracy= 0.99333
Iter 130, Minibatch Loss= 189.526489, Training Accuracy= 0.98000
Iter 131, Minibatch Loss= 134.627711, Training Accuracy= 0.98667
Iter 132, Minibatch Loss= 37.091405, Training Accuracy= 0.99333
Iter 133, Minibatch Loss= 288.099894, Training Accuracy= 0.98667
Iter 134, Minibatch Loss= 72.507187, Training Accuracy= 0.99333
Iter 135, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 136, Minibatch Loss= 30.875025, Training Accuracy= 0.99333
Iter 137, Minibatch Loss= 240.893880, Training Accuracy= 0.98667
Iter 138, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 139, Minibatch Loss= 118.014842, Training Accuracy= 0.99333
Iter 140, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 141, Minibatch Loss= 97.056014, Training Accuracy= 0.98000
Iter 142, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 143, Minibatch Loss= 105.751363, Training Accuracy= 0.99333
Iter 144, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 145, Minibatch Loss= 14.612864, Training Accuracy= 0.99333
Iter 146, Minibatch Loss= 27.224167, Training Accuracy= 0.99333
Iter 147, Minibatch Loss= 71.318359, Training Accuracy= 0.99333
Iter 148, Minibatch Loss= 38.985807, Training Accuracy= 0.98667
Iter 149, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 150, Minibatch Loss= 21.552684, Training Accuracy= 0.99333
Iter 151, Minibatch Loss= 43.445155, Training Accuracy= 0.98667
Iter 152, Minibatch Loss= 160.714897, Training Accuracy= 0.98667
Iter 153, Minibatch Loss= 38.503777, Training Accuracy= 0.99333
Iter 154, Minibatch Loss= 125.741435, Training Accuracy= 0.99333
Iter 155, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 156, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 157, Minibatch Loss= 7.539922, Training Accuracy= 0.99333
Iter 158, Minibatch Loss= 406.982920, Training Accuracy= 0.97333
Iter 159, Minibatch Loss= 35.029376, Training Accuracy= 0.99333
Iter 160, Minibatch Loss= 3.487200, Training Accuracy= 0.99333
Iter 161, Minibatch Loss= 2.231406, Training Accuracy= 0.99333
Iter 162, Minibatch Loss= 48.781769, Training Accuracy= 0.99333
Iter 163, Minibatch Loss= 29.202629, Training Accuracy= 0.99333
Iter 164, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 165, Minibatch Loss= 37.717865, Training Accuracy= 0.99333
Iter 166, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 167, Minibatch Loss= 60.728800, Training Accuracy= 0.99333
Iter 168, Minibatch Loss= 28.203985, Training Accuracy= 0.99333
Iter 169, Minibatch Loss= 72.297422, Training Accuracy= 0.98667
Iter 170, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 171, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 172, Minibatch Loss= 7.787344, Training Accuracy= 0.98667
Iter 173, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 174, Minibatch Loss= 150.200623, Training Accuracy= 0.99333
Iter 175, Minibatch Loss= 18.956263, Training Accuracy= 0.99333
Iter 176, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 177, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 178, Minibatch Loss= 24.115390, Training Accuracy= 0.99333
Iter 179, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 180, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 181, Minibatch Loss= 147.758514, Training Accuracy= 0.98667
Iter 182, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 183, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 184, Minibatch Loss= 129.432030, Training Accuracy= 0.97333
Iter 185, Minibatch Loss= 92.992269, Training Accuracy= 0.99333
Iter 186, Minibatch Loss= 9.979531, Training Accuracy= 0.99333
Iter 187, Minibatch Loss= 101.623962, Training Accuracy= 0.99333
Iter 188, Minibatch Loss= 226.810984, Training Accuracy= 0.98000
Iter 189, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 190, Minibatch Loss= 217.364604, Training Accuracy= 0.99333
Iter 191, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 192, Minibatch Loss= 36.249766, Training Accuracy= 0.99333
Iter 193, Minibatch Loss= 58.341746, Training Accuracy= 0.99333
Iter 194, Minibatch Loss= 4.497318, Training Accuracy= 0.98667
Iter 195, Minibatch Loss= 84.398804, Training Accuracy= 0.99333
Iter 196, Minibatch Loss= 16.853438, Training Accuracy= 0.99333
Iter 197, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 198, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 199, Minibatch Loss= 0.000000, Training Accuracy= 1.00000

Training complete!
Model saved in file: tempModelsCNNFolds/model6.ckpt
('accuracy : ', 1.0)
('precision : ', 1.0)
('recall : ', 1.0)
('f1 : ', 1.0)


('Fold : ', 7)
Iter 0, Minibatch Loss= 140557.156250, Training Accuracy= 0.19333
Iter 1, Minibatch Loss= 132331.682292, Training Accuracy= 0.14000
Iter 2, Minibatch Loss= 102670.953125, Training Accuracy= 0.18000
Iter 3, Minibatch Loss= 79064.466146, Training Accuracy= 0.29333
Iter 4, Minibatch Loss= 65963.153646, Training Accuracy= 0.37333
Iter 5, Minibatch Loss= 61439.423177, Training Accuracy= 0.36000
Iter 6, Minibatch Loss= 57087.826823, Training Accuracy= 0.28667
Iter 7, Minibatch Loss= 50150.756510, Training Accuracy= 0.38667
Iter 8, Minibatch Loss= 46195.451823, Training Accuracy= 0.33333
Iter 9, Minibatch Loss= 35539.853516, Training Accuracy= 0.46000
Iter 10, Minibatch Loss= 31072.026693, Training Accuracy= 0.46000
Iter 11, Minibatch Loss= 29754.495443, Training Accuracy= 0.50000
Iter 12, Minibatch Loss= 33613.283854, Training Accuracy= 0.47333
Iter 13, Minibatch Loss= 23793.543620, Training Accuracy= 0.56667
Iter 14, Minibatch Loss= 22379.499349, Training Accuracy= 0.56000
Iter 15, Minibatch Loss= 18249.643880, Training Accuracy= 0.57333
Iter 16, Minibatch Loss= 14989.863932, Training Accuracy= 0.64000
Iter 17, Minibatch Loss= 16370.789062, Training Accuracy= 0.57333
Iter 18, Minibatch Loss= 14564.558105, Training Accuracy= 0.61333
Iter 19, Minibatch Loss= 13819.625977, Training Accuracy= 0.62667
Iter 20, Minibatch Loss= 11815.431315, Training Accuracy= 0.68667
Iter 21, Minibatch Loss= 12905.762370, Training Accuracy= 0.60000
Iter 22, Minibatch Loss= 11632.375977, Training Accuracy= 0.64000
Iter 23, Minibatch Loss= 8624.183105, Training Accuracy= 0.71333
Iter 24, Minibatch Loss= 10516.653971, Training Accuracy= 0.68667
Iter 25, Minibatch Loss= 7582.919108, Training Accuracy= 0.71333
Iter 26, Minibatch Loss= 8648.148926, Training Accuracy= 0.78000
Iter 27, Minibatch Loss= 7180.907552, Training Accuracy= 0.72667
Iter 28, Minibatch Loss= 6161.422526, Training Accuracy= 0.73333
Iter 29, Minibatch Loss= 6342.493978, Training Accuracy= 0.76000
Iter 30, Minibatch Loss= 6196.567220, Training Accuracy= 0.82000
Iter 31, Minibatch Loss= 4812.263021, Training Accuracy= 0.80667
Iter 32, Minibatch Loss= 3670.932678, Training Accuracy= 0.80667
Iter 33, Minibatch Loss= 3472.382568, Training Accuracy= 0.83333
Iter 34, Minibatch Loss= 4714.333659, Training Accuracy= 0.84000
Iter 35, Minibatch Loss= 6246.360189, Training Accuracy= 0.76000
Iter 36, Minibatch Loss= 2809.619263, Training Accuracy= 0.84000
Iter 37, Minibatch Loss= 2179.072917, Training Accuracy= 0.88000
Iter 38, Minibatch Loss= 2410.832886, Training Accuracy= 0.88667
Iter 39, Minibatch Loss= 2093.209452, Training Accuracy= 0.88000
Iter 40, Minibatch Loss= 2631.899333, Training Accuracy= 0.87333
Iter 41, Minibatch Loss= 1851.013957, Training Accuracy= 0.91333
Iter 42, Minibatch Loss= 2402.413025, Training Accuracy= 0.88667
Iter 43, Minibatch Loss= 2596.923258, Training Accuracy= 0.85333
Iter 44, Minibatch Loss= 2074.671305, Training Accuracy= 0.90667
Iter 45, Minibatch Loss= 1345.762288, Training Accuracy= 0.90667
Iter 46, Minibatch Loss= 3223.710368, Training Accuracy= 0.86667
Iter 47, Minibatch Loss= 1886.649699, Training Accuracy= 0.89333
Iter 48, Minibatch Loss= 1468.811727, Training Accuracy= 0.88667
Iter 49, Minibatch Loss= 2572.669352, Training Accuracy= 0.86667
Iter 50, Minibatch Loss= 1406.751831, Training Accuracy= 0.92000
Iter 51, Minibatch Loss= 2379.257406, Training Accuracy= 0.87333
Iter 52, Minibatch Loss= 1369.346466, Training Accuracy= 0.90667
Iter 53, Minibatch Loss= 1480.326111, Training Accuracy= 0.92667
Iter 54, Minibatch Loss= 1439.946086, Training Accuracy= 0.92000
Iter 55, Minibatch Loss= 398.004832, Training Accuracy= 0.95333
Iter 56, Minibatch Loss= 349.814952, Training Accuracy= 0.97333
Iter 57, Minibatch Loss= 802.436605, Training Accuracy= 0.93333
Iter 58, Minibatch Loss= 1231.605748, Training Accuracy= 0.92667
Iter 59, Minibatch Loss= 261.661336, Training Accuracy= 0.98667
Iter 60, Minibatch Loss= 359.865590, Training Accuracy= 0.96667
Iter 61, Minibatch Loss= 539.118665, Training Accuracy= 0.96000
Iter 62, Minibatch Loss= 506.681010, Training Accuracy= 0.93333
Iter 63, Minibatch Loss= 1244.379557, Training Accuracy= 0.92667
Iter 64, Minibatch Loss= 547.783112, Training Accuracy= 0.96000
Iter 65, Minibatch Loss= 718.544668, Training Accuracy= 0.94667
Iter 66, Minibatch Loss= 1602.130046, Training Accuracy= 0.88000
Iter 67, Minibatch Loss= 329.728203, Training Accuracy= 0.96667
Iter 68, Minibatch Loss= 571.129761, Training Accuracy= 0.95333
Iter 69, Minibatch Loss= 783.183167, Training Accuracy= 0.92000
Iter 70, Minibatch Loss= 102.584844, Training Accuracy= 0.98667
Iter 71, Minibatch Loss= 904.018148, Training Accuracy= 0.95333
Iter 72, Minibatch Loss= 492.108353, Training Accuracy= 0.95333
Iter 73, Minibatch Loss= 138.610907, Training Accuracy= 0.98000
Iter 74, Minibatch Loss= 487.110636, Training Accuracy= 0.96000
Iter 75, Minibatch Loss= 441.932892, Training Accuracy= 0.95333
Iter 76, Minibatch Loss= 322.014071, Training Accuracy= 0.98000
Iter 77, Minibatch Loss= 437.532379, Training Accuracy= 0.97333
Iter 78, Minibatch Loss= 172.895243, Training Accuracy= 0.96667
Iter 79, Minibatch Loss= 93.153127, Training Accuracy= 0.98667
Iter 80, Minibatch Loss= 434.924582, Training Accuracy= 0.95333
Iter 81, Minibatch Loss= 76.037918, Training Accuracy= 0.98667
Iter 82, Minibatch Loss= 71.387085, Training Accuracy= 0.98667
Iter 83, Minibatch Loss= 482.120519, Training Accuracy= 0.98000
Iter 84, Minibatch Loss= 298.720313, Training Accuracy= 0.98000
Iter 85, Minibatch Loss= 116.677556, Training Accuracy= 0.98000
Iter 86, Minibatch Loss= 341.140088, Training Accuracy= 0.97333
Iter 87, Minibatch Loss= 447.726522, Training Accuracy= 0.98000
Iter 88, Minibatch Loss= 199.755920, Training Accuracy= 0.98000
Iter 89, Minibatch Loss= 224.056722, Training Accuracy= 0.96667
Iter 90, Minibatch Loss= 84.798125, Training Accuracy= 0.98667
Iter 91, Minibatch Loss= 237.231984, Training Accuracy= 0.97333
Iter 92, Minibatch Loss= 96.232554, Training Accuracy= 0.99333
Iter 93, Minibatch Loss= 191.137861, Training Accuracy= 0.98667
Iter 94, Minibatch Loss= 54.290105, Training Accuracy= 0.99333
Iter 95, Minibatch Loss= 225.196747, Training Accuracy= 0.97333
Iter 96, Minibatch Loss= 378.378123, Training Accuracy= 0.96000
Iter 97, Minibatch Loss= 375.926824, Training Accuracy= 0.96000
Iter 98, Minibatch Loss= 319.502330, Training Accuracy= 0.98000
Iter 99, Minibatch Loss= 636.745476, Training Accuracy= 0.97333
Iter 100, Minibatch Loss= 79.699712, Training Accuracy= 0.98667
Iter 101, Minibatch Loss= 155.055405, Training Accuracy= 0.98000
Iter 102, Minibatch Loss= 65.795390, Training Accuracy= 0.99333
Iter 103, Minibatch Loss= 303.235229, Training Accuracy= 0.96000
Iter 104, Minibatch Loss= 65.742111, Training Accuracy= 0.98667
Iter 105, Minibatch Loss= 41.323281, Training Accuracy= 0.98667
Iter 106, Minibatch Loss= 416.955231, Training Accuracy= 0.98000
Iter 107, Minibatch Loss= 260.305552, Training Accuracy= 0.98667
Iter 108, Minibatch Loss= 226.814819, Training Accuracy= 0.99333
Iter 109, Minibatch Loss= 189.826397, Training Accuracy= 0.97333
Iter 110, Minibatch Loss= 116.826792, Training Accuracy= 0.98000
Iter 111, Minibatch Loss= 51.274061, Training Accuracy= 0.98667
Iter 112, Minibatch Loss= 58.420756, Training Accuracy= 0.99333
Iter 113, Minibatch Loss= 105.431691, Training Accuracy= 0.98667
Iter 114, Minibatch Loss= 56.347148, Training Accuracy= 0.98667
Iter 115, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 116, Minibatch Loss= 54.318853, Training Accuracy= 0.98667
Iter 117, Minibatch Loss= 6.871016, Training Accuracy= 0.99333
Iter 118, Minibatch Loss= 8.822435, Training Accuracy= 0.99333
Iter 119, Minibatch Loss= 58.591955, Training Accuracy= 0.98667
Iter 120, Minibatch Loss= 357.873693, Training Accuracy= 0.97333
Iter 121, Minibatch Loss= 105.163569, Training Accuracy= 0.98667
Iter 122, Minibatch Loss= 187.725494, Training Accuracy= 0.98667
Iter 123, Minibatch Loss= 125.491567, Training Accuracy= 0.98667
Iter 124, Minibatch Loss= 145.035548, Training Accuracy= 0.98667
